Player,height,weight,born,year_start,year_end,position
Marshall Hawkins,75,203,1924,,,
Bill Henry,81,214,1924,,,
Bill Herman,75,170,1924,,,
Kleggie Hermsen,81,225,1923,,,
Sonny Hertzberg,70,174,1922,,,
Paul Hoffman,74,194,1925,,,
Joe Holland,76,183,1925,,,
Red Holzman,70,174,1920,,,
Gene James,76,179,1925,,,
Howie Janotta,75,183,1924,,,
Tony Jaros,75,183,1920,,,
Buddy Jeannette,71,174,1917,,,
Arnie Johnson,77,236,1920,,,
Ralph Johnson,71,170,1921,,,
Wah Wah,71,170,1921,,,
Noble Jorgensen,81,227,1925,,,
George Kaftan,75,190,1928,,,
Leo Katkaveck,72,183,1923,,,
Jack Kerris,78,214,1925,,,
Bob Kinney,78,214,1920,,,
Walt Kirk,75,172,1924,,,
Leo Klier,74,170,1923,,,
Duane Klueh,75,174,1926,,,
Lee Knorek,79,214,1921,,,
Milo Komenich,79,212,1920,,,
Leo Kubiak,71,159,1927,,,
Frank Kudelka,74,192,1925,,,
Walt Lautenbach,74,183,1922,,,
Tony Lavelli,75,183,1926,,,
Ed Leede,75,183,1927,,,
Andrew Levane,74,190,1920,,,
Freddie Lewis,74,194,1921,,,
Ron Livingstone,82,218,1925,,,
John Logan,74,174,1921,,,
Ray Lumpp,73,176,1923,,,
Ed Macauley,80,183,1928,,,
Johnny Macknowski,72,179,1923,,,
John Mahnken,80,218,1922,,,
John Mandic,76,203,1919,,,
Slater Martin,70,170,1925,,,
Ariel Maughan,76,190,1923,,,
Matt Mazza,75,209,1923,,,
Mike McCarron,71,179,1922,,,
Dick McGuire,72,179,1926,,,
Bones McKinney,78,183,1919,,,
Mal McMullen,77,209,1927,,,
Dick Mehen,77,194,1922,,,
Ken Menke,72,168,1922,,,
Stan Miasek,77,209,1924,,,
Ed Mikan,80,229,1925,,,
George Mikan,82,245,1924,,,
Vern Mikkelsen,79,229,1928,,,
Al Miksis,79,209,1928,,,
Murray Mitchell,79,209,1923,,,
Leo Mogus,76,190,1921,,,
Max Morris,74,194,1925,,,
Joe Mullaney,72,163,1925,,,
Jerry Nagel,72,190,1928,,,
Jack Nichols,79,220,1926,,,
Richie Niemiera,73,163,1921,,,
Paul Noel,76,183,1924,,,
Jim Nolan,80,209,1927,,,
Johnny Norlander,75,179,1921,,,
George Nostrand,80,194,1924,,,
Mike Novak,81,218,1915,,,
Dermie O'Connell,72,172,1928,,,
Andy O'Donnell,73,179,1925,,,
Dick O'Keefe,74,183,1923,,,
John Oldham,75,174,1923,,,
Gene Ollrich,71,159,1922,,,
Johnny Orr,75,194,1927,,,
Don Otten,82,238,1921,,,
Mac Otten,79,218,1925,,,
Red Owens,75,183,1925,,,
Easy Parham,75,198,1921,,,
Jack Parkinson,72,172,1924,,,
Charlie Parsley,74,174,1925,,,
Stan Patrick,74,183,1922,,,
Johnny Payak,76,172,1926,,,
Warren Perkins,75,190,1922,,,
Ed Peterson,81,218,1924,,,
Jack Phelan,77,194,1925,,,
Andy Phillip,74,194,1922,,,
Jim Pollard,76,183,1922,,,
John Pritchard,81,218,1927,,,
Les Pugh,79,190,1923,,,
Don Putman,79,190,1923,,,
George Ratkovicz,78,218,1922,,,
Don Ray,77,190,1921,,,
Chick Reiser,71,163,1914,,,
Arnie Risen,81,198,1924,,,
Tex Ritter,74,183,1924,,,
Bill Roberts,81,209,1925,,,
Red Rocha,81,183,1923,,,
Kenny Rollins,72,168,1923,,,
Bob Royer,70,154,1927,,,
Jerry Rullo,70,163,1923,,,
Ed Sadowski,77,238,1917,,,
Kenny Sailors,70,174,1921,,,
Pep Saul,74,183,1924,,,
Herm Schaefer,72,174,1918,,,
Marv Schatzman,77,198,1927,,,
Fred Schaus,77,203,1925,,,
Dolph Schayes,80,218,1928,,,
Milt Schoon,79,229,1922,,,
Howie Schultz,78,198,1922,,,
Dick Schulz,74,192,1917,,,
Fred Scolari,70,179,1922,,,
Wayne See,75,190,1923,,,
Glen Selbo,75,194,1926,,,
Rollie Seltz,70,163,1924,,,
Jim Seminoff,74,190,1922,,,
George Senesky,74,179,1922,,,
Paul Seymour,73,179,1928,,,
Carl Shaeffer,75,183,1924,,,
Howie Shannon,74,174,1923,,,
Charley Shipp,73,198,1913,,,
Connie Simmons,80,220,1925,,,
Belus Smawley,73,194,1918,,,
Jack Smiley,75,190,1922,,,
Chips Sobek,72,179,1920,,,
Odie Spears,77,203,1925,,,
Art Spector,76,198,1920,,,
Ed Stanczak,73,183,1921,,,
Gene Stump,74,183,1923,,,
Mike Todorovich,77,218,1923,,,
Jack Toomay,78,214,1922,,,
Bob Tough,72,183,1920,,,
Blackie Towery,76,209,1920,,,
Dick Triptow,72,170,1922,,,
Butch Van,72,170,1922,,,
Gene Vance,75,194,1923,,,
Ernie Vandeweghe,75,194,1928,,,
Floyd Volker,76,203,1921,,,
Whitey Von,76,203,1921,,,
Clint Wager,78,209,1920,,,
Danny Wagner,72,170,1922,,,
Brady Walker,78,203,1921,,,
Paul Walther,74,159,1927,,,
Bobby Wanzer,72,170,1921,,,
Murray Wier,69,154,1926,,,
D.C. Wilcutt,69,154,1926,,,
Bob Wood,69,154,1921,,,
Max Zaslofsky,74,170,1925,,,
Paul Arizin,76,190,1928,,,
Ed Beach,75,198,1929,,,
Leon Blevins,74,159,1926,,,
Ike Borsavage,80,218,1924,,,
Art Burris,77,218,1924,,,
Gerry Calabrese,73,174,1925,,,
Cal Christensen,77,209,1927,,,
Nat Clifton,78,218,1922,,,
Chuck Cooper,77,209,1926,,,
Bob Cousy,73,174,1928,,,
Hank DeZonie,78,214,1922,,,
Bob Donham,74,190,1926,,,
Ray Ellefson,80,229,1922,,,
Larry Foust,81,214,1928,,,
Ed Gayda,76,209,1927,,,
Joe Hutton,73,170,1928,,,
Bob Lavoy,79,183,1926,,,
Earl Lloyd,77,198,1928,,,
Don Lofgran,77,198,1928,,,
Norm Mager,77,183,1926,,,
Joe McNamee,78,209,1926,,,
Chuck Mrazovich,77,183,1924,,,
Ken Murray,74,190,1928,,,
Tommy O'Keefe,74,183,1928,,,
Kevin O'Shea,74,174,1925,,,
Don Rehfeldt,79,209,1927,,,
Jim Riffey,76,198,1923,,,
Alan Sawyer,77,194,1928,,,
Herb Scherer,81,212,1928,,,
Dick Schnittker,77,198,1928,,,
Bill Sharman,73,174,1926,,,
Don Barksdale,78,198,1923,,,
Elmer Behnke,79,209,1929,,,
Stan Brown,75,198,1929,,,
Ed Dahler,77,190,1926,,,
Nate DeLong,78,218,1926,,,
Dick Dickey,73,174,1926,,,
Jake Fendley,72,179,1929,,,
Jerry Fowler,80,229,1927,,,
Lew Hitch,80,198,1929,,,
Mel Hutchins,78,198,1928,,,
Neil Johnston,80,209,1929,,,
Jack Kiley,73,170,1929,,,
George King,72,174,1928,,,
John McConathy,77,194,1930,,,
Alfred McGuire,74,179,1928,,,
Dave Minor,74,183,1922,,,
Ralph O'Brien,69,159,1928,,,
Wally Osterkorn,77,214,1928,,,
Mel Payton,76,183,1926,,,
John Pilch,75,183,1925,,,
Ray Ragelis,76,203,1928,,,
Sam Ranzino,73,183,1927,,,
John Rennicke,74,183,1929,,,
Don Savage,75,203,1928,,,
Chuck Share,83,234,1927,,,
Zeke Sinicola,70,163,1929,,,
Whitey Skoog,71,179,1926,,,
Jim Slaughter,83,209,1928,,,
Bill Tosheff,73,174,1926,,,
Bob Wilson,76,183,1926,,,
Jim Baechtold,76,203,1927,,,
Jim Brasco,73,170,1931,,,
Dick Bunt,72,170,1930,,,
Gene Conley,80,225,1930,,,
Pete Darcey,79,216,1930,,,
Blaine Denning,74,174,1930,,,
Danny Finn,73,183,1928,,,
Dick Groat,71,179,1930,,,
Don Hanrahan,79,198,1929,,,
Don Henriksen,79,225,1929,,,
Jim Holstein,75,179,1930,,,
Bob Lochmueller,77,183,1927,,,
Mo Mahoney,74,203,1927,,,
Al Masino,70,172,1928,,,
Jack McCloskey,74,190,1925,,,
Bucky McConnell,70,170,1928,,,
George McLeod,77,198,1931,,,
Jack McMahon,73,183,1928,,,
Monk Meineke,79,207,1930,,,
Eddie Miller,80,225,1931,,,
Bill Mlkvy,76,190,1931,,,
Jim Mooney,77,214,1930,,,
Bob Naber,75,183,1929,,,
John O'Boyle,74,183,1928,,,
Mike O'Neill,75,209,1928,,,
Claude Overton,74,194,1927,,,
Ralph Polson,79,198,1929,,,
Bob Priddy,75,190,1930,,,
Moe Radovich,72,159,1929,,,
Sherwin Raiken,74,183,1928,,,
Gene Rhodes,73,170,1927,,,
Dick Surhoff,76,209,1929,,,
Mark Workman,81,214,1930,,,
Zeke Zawoluk,79,214,1930,,,
Don Ackerman,72,183,1930,,,
Don Asmonga,74,183,1928,,,
Ernie Barrett,75,179,1929,,,
Ernie Beck,76,190,1931,,,
Irv Bemoras,75,183,1930,,,
Bill Bolger,77,203,1931,,,
Walt Davis,80,203,1931,,,
Gene Dyker,78,225,1930,,,
Ed Earle,75,190,1927,,,
Ray Felix,83,218,1930,,,
Jim Fritsche,80,209,1931,,,
Jack George,74,190,1928,,,
Bato Govedarica,71,183,1928,,,
Norm Grekin,77,179,1930,,,
Rollen Hans,74,209,1931,,,
Bob Houbregs,79,209,1932,,,
Billy Kenville,74,185,1930,,,
Dick Knostman,78,214,1931,,,
Clyde Lovellette,81,234,1929,,,
Jim Luisi,74,179,1928,,,
Jack Molinas,78,198,1931,,,
Jim Neal,83,234,1930,,,
Paul Nolen,83,234,1929,,,
Bob Peterson,77,209,1932,,,
James Phelan,77,194,1925,,,
Connie Rea,75,174,1935,,,
Frank Reddout,77,194,1935,,,
Al Roges,76,194,1930,,,
Ed Smith,78,179,1929,,,
Joe Smyth,75,214,1929,,,
Don Sunderlage,73,179,1929,,,
Norm Swanson,78,209,1930,,,
Hal Uplinger,76,183,1929,,,
Isaac Walthour,71,161,1930,,,
George Yardley,77,190,1928,,,
Don Anielak,79,190,1930,,,
Tom Brennan,75,194,1930,,,
Bob Carney,75,170,1932,,,
Fred Christ,76,209,1930,,,
Bert Cook,75,183,1929,,,
Larry Costello,73,185,1931,,,
George Dempsey,74,190,1929,,,
Fred Diute,75,209,1929,,,
Dick Farley,76,190,1932,,,
Chuck Grigsby,77,190,1928,,,
Herm Hedderick,77,170,1930,,,
Ed Kalafat,78,245,1932,,,
Mike Kearns,74,176,1929,,,
Red Kerr,81,229,1932,,,
Dan King,78,218,1931,,,
Bob Knight,74,183,1929,,,
Ronnie MacGilvray,74,183,1930,,,
Tom Marshall,76,214,1931,,,
Phil Martin,75,190,1928,,,
Ken McBride,75,190,1928,,,
Carl McNulty,75,183,1930,,,
Jackie Moore,77,179,1932,,,
Red Morrison,80,218,1932,,,
Boris Nachamkin,78,209,1933,,,
Togo Palazzi,76,203,1932,,,
Bob Pettit,81,203,1932,,,
Frank Ramsey,75,190,1931,,,
Dick Rosenthal,77,203,1930,,,
Frank Selvy,75,179,1932,,,
Gene Shue,74,170,1931,,,
Art Spoelstra,81,218,1932,,,
Jim Tucker,79,183,1932,,,
Jack Turner,76,170,1930,,,
Bobby Watson,72,159,1930,,,
Skippy Whitaker,73,179,1930,,,
Jesse Arnelle,77,218,1933,,,
Dick Atha,74,190,1931,,,
Don Bielke,79,238,1931,,,
Ed Conlin,77,198,1933,,,
Red Davis,79,218,1932,,,
Corky Devlin,77,194,1931,,,
Walter Dukes,84,218,1930,,,
Ron Feiereisel,75,183,1931,,,
Al Ferrari,76,190,1933,,,
Ed Fleming,75,187,1933,,,
Dick Garmaker,75,198,1932,,,
Tom Gola,78,203,1933,,,
Chris Harris,75,190,1933,,,
Dick Hemric,78,218,1933,,,
Larry Hennessy,75,183,1929,,,
Johnny Horan,80,190,1932,,,
Jim Loscutoff,77,218,1930,,,
Chuck Mencel,72,168,1933,,,
Chuck Noble,76,190,1931,,,
Med Park,74,203,1933,,,
Richie Regan,74,179,1930,,,
Dick Ricketts,79,214,1933,,,
Bob Santini,77,190,1935,,,
Bob Schafer,75,194,1935,,,
Kenny Sears,81,196,1933,,,
Jack Stephens,75,183,1933,,,
Maurice Stokes,79,231,1933,,,
Jack Twyman,78,209,1934,,,
Bob Williams,78,229,1931,,,
Forest Able,75,179,1932,,,
Bob Armstrong,80,218,1933,,,
John Barber,78,209,1927,,,
Gary Bergen,80,209,1932,,,
Al Bianchi,75,183,1932,,,
Bob Burrow,79,227,1934,,,
Si Green,74,183,1933,,,
Richie Guerin,76,194,1932,,,
Cliff Hagan,76,209,1931,,,
Tom Heinsohn,79,216,1934,,,
Joe Holup,78,214,1934,,,
Bob Hopkins,80,203,1934,,,
Phil Jordon,82,203,1933,,,
Hal Lear,72,161,1935,,,
Slick Leonard,75,183,1932,,,
Johnny McCarthy,73,183,1934,,,
Willie Naulls,78,225,1934,,,
Jim Paxson,78,198,1932,1980,1990,G
Dave Piontek,78,229,1934,,,
Jim Ray,73,179,1934,,,
Bill Russell,82,214,1934,,,
Ron Shavlik,80,198,1933,,,
Ron Sobie,75,183,1934,,,
Norm Stewart,77,203,1935,,,
Bill Thieben,79,214,1935,,,
Lou Tsioropoulos,77,190,1930,,,
Doug Bolstorff,76,194,1931,,,
George Brown,78,190,1935,,,
Dick Duckett,73,183,1933,,,
Pat Dunn,74,170,1931,,,
Bill Ebben,76,190,1935,,,
Bo Erias,75,218,1932,,,
Larry Friend,76,183,1935,,,
Hot Rod,76,183,1935,,,
McCoy Ingram,80,209,1931,,,
Sam Jones,76,196,1933,,,
Jim Krebs,80,229,1935,,,
Brendan McCann,74,176,1935,,,
Worthy Patterson,74,174,1931,,,
Jerry Paulson,74,183,1935,,,
Ray Radziszewski,77,209,1935,,,
Lennie Rosenbluth,76,190,1933,,,
Woody Sauldsberry,79,218,1934,,,
Guy Sparrow,78,216,1932,,,
Charlie Tyra,80,229,1935,,,
Jim Walsh,76,194,1930,,,
Win Wilfong,74,183,1933,,,
Elgin Baylor,77,225,1934,,,
Jerry Bird,78,209,1935,,,
Bucky Bockhorn,76,198,1933,,,
Pete Brennan,78,203,1936,,,
Barney Cable,79,174,1935,,,
Archie Dees,80,203,1936,,,
Connie Dierking,81,220,1936,,,
Boo Ellis,77,183,1936,,,
Wayne Embry,80,238,1937,,,
Mike Farmer,79,209,1936,,,
Dave Gambee,78,214,1937,,,
Hal Greer,74,174,1936,,,
Steve Hamilton,78,190,1935,,,
Vern Hatton,75,194,1936,,,
Andy Johnson,77,214,1932,,,
K.C. Jones,77,214,1932,,,
Tommy Kearns,71,183,1936,,,
Shellie McMillon,77,203,1936,,,
Jim Palmer,80,223,1933,,,
Jack Parr,81,218,1936,,,
Hub Reed,81,214,1936,,,
Guy Rodgers,72,183,1935,,,
Phil Rollins,74,183,1934,,,
Larry Staverman,79,203,1936,,,
Bennie Swain,80,218,1933,,,
Gary Alcorn,81,225,1936,,,
Bob Anderegg,75,198,1937,,,
Dick Barnett,76,190,1936,,,
Whitey Bell,72,179,1932,,,
Wilt Chamberlain,85,273,1936,,,
Bob Ferry,80,229,1937,,,
Johnny Green,77,198,1933,,,
Gene Guarilia,77,218,1937,,,
Tom Hawkins,77,209,1936,,,
Bailey Howell,79,209,1937,,,
Maury King,74,194,1935,,,
Rudy LaRusso,79,218,1937,,,
Nick Mantis,75,190,1935,,,
Cal Ramsey,76,198,1937,,,
John Richter,81,225,1937,,,
Joe Ruklick,81,218,1938,,,
Bobby Smith,76,190,1937,,,
Wayne Stevens,75,183,1936,,,
Tony Windis,73,159,1933,,,
Al Attles,72,174,1936,,,
Bob Boozer,80,214,1937,,,
Dave Budd,78,203,1938,,,
Ralph Davis,76,179,1938,,,
Swede Halbrook,87,234,1933,,,
Darrall Imhoff,82,218,1938,,,
Ron Johnson,80,214,1938,,,
Howie Jolliff,80,214,1938,,,
Willie Jones,75,183,1936,,,
Pickles Kennedy,71,179,1938,,,
Fred LaCour,77,209,1938,,,
George Lee,76,198,1936,,,
Bob McNeill,73,170,1938,,,
Jackie Moreland,79,214,1938,,,
Don Ohl,75,190,1936,,,
Joe Roberts,78,214,1936,,,
Oscar Robertson,77,203,1938,,,
Tom Sanders,78,209,1938,,,
Jerry West,74,174,1938,,,
Lenny Wilkens,73,179,1937,,,
Stacey Arceneaux,76,209,1936,,,
Walt Bellamy,83,225,1939,,,
George Blaney,73,174,1939,,,
George Bon,73,174,1939,,,
Joe Buckhalter,79,209,1937,,,
Cleveland Buckner,81,209,1938,,,
Ed Burton,78,225,1939,,,
Donnie Butcher,74,198,1936,,,
Al Butler,74,174,1938,,,
Howie Carl,69,159,1938,,,
Jimmy Darrow,70,170,1937,,,
Johnny Egan,71,179,1939,,,
Rich Eichhorst,71,179,1939,,,
Cleo Hill,73,183,1938,,,
Ron Horn,79,218,1938,,,
Doug Kistler,81,209,1938,,,
York Larese,76,183,1938,,,
Ted Luckenbill,78,203,1939,,,
Whitey Martin,74,183,1939,,,
Tom Meschery,78,214,1938,,,
Paul Neumann,73,174,1938,,,
Bevo Nordmann,82,225,1939,,,
Chuck Osborne,78,209,1939,,,
Gary Phillips,75,187,1939,,,
Frank Radovich,80,234,1938,,,
Ray Scott,81,214,1938,,,
Lee Shaffer,79,218,1939,,,
Bob Sims,77,218,1938,,,
Adrian Smith,73,179,1936,,,
Bill Smith,77,190,1939,,,
Sam Stith,74,183,1937,,,
Horace Walker,75,209,1937,,,
Bob Wiesenhahn,76,214,1938,,,
Wayne Yates,80,234,1937,,,
Dave Zeller,73,174,1939,,,
John Barnhill,73,179,1938,,,
Zelmo Beaty,81,225,1939,,,
Bill Bridges,78,227,1939,,,
Len Chappell,80,238,1941,,,
Johnny Cox,76,179,1936,,,
Dave DeBusschere,78,218,1940,,,
Terry Dischinger,79,187,1940,,,
Danny Doyle,80,198,1940,,,
Bob Duffy,76,174,1922,,,
Leroy Ellis,82,209,1940,,,
Dave Fedor,78,190,1940,,,
Jack Foley,75,170,1939,,,
Dave Gunther,79,190,1937,,,
Charlie Hardnett,80,225,1938,,,
John Havlicek,77,203,1940,,,
Wayne Hightower,80,192,1940,,,
Paul Hogue,80,192,1940,,,
Kevin Loughery,75,190,1940,,,
Bill McGill,81,225,1939,,,
Porter Meriwether,74,179,1940,,,
Howie Montgomery,77,218,1940,,,
Don Nelson,78,209,1940,,,
Mel Nowell,74,170,1939,,,
Bud Olsen,80,218,1940,,,
John Rudometkin,78,203,1940,,,
Jeff Slade,78,218,1941,,,
Tom Stith,77,209,1939,,,
Dan Swartz,76,214,1934,,,
Dan Tieman,72,183,1940,,,
Gene Tormohlen,72,183,1940,,,
Chico Vaughn,74,190,1940,,,
Chet Walker,78,212,1940,,,
Ben Warley,77,198,1936,,,
Ralph Wells,73,179,1940,,,
Hubie White,76,203,1940,,,
Gene Wiley,82,209,1937,,,
Jay Arnette,74,174,1938,,,
Larry Comley,77,209,1939,,,
Mel Gibson,75,179,1940,,,
Jerry Greenspan,77,194,1941,,,
Reggie Harding,84,247,1942,,,
Jerry Harkness,74,174,1940,,,
Art Heyman,77,203,1941,,,
Gary Hill,76,183,1941,,,
Tom Hoover,81,229,1941,,,
Gus Johnson,78,229,1938,,,
Jim King,74,174,1941,,,
Don Kojis,77,214,1939,,,
Jerry Lucas,80,229,1940,,,
Eddie Miles,76,194,1940,,,
Mel Peterson,76,183,1938,,,
Ken Rohloff,72,194,1939,,,
Larry Siegfried,75,190,1939,,,
Roger Strickland,77,198,1940,,,
Tom Thacker,74,170,1939,,,
Rod Thorn,76,194,1941,,,
Nate Thurmond,83,225,1941,,,
Gerry Ward,76,194,1941,,,
John Windsor,80,214,1940,,,
Jim Barnes,80,209,1941,,,
Ron Bonham,77,192,1942,,,
Gary Bradds,80,209,1942,,,
Em Bryant,73,174,1938,,,
Joe Caldwell,77,194,1941,,,
Mel Counts,84,229,1941,,,
Steve Courtin,73,187,1942,,,
Jerry Grote,76,214,1940,,,
Happy Hairston,79,225,1942,,,
Walt Hazzard,79,225,1942,,,
Les Hunter,79,209,1942,,,
Luke Jackson,81,238,1941,,,
Larry Jones,74,179,1942,,,
Wali Jones,76,225,1926,,,
Howard Komives,73,183,1941,,,
Bud Koper,78,209,1942,,,
Barry Kramer,76,198,1942,,,
McCoy McLemore,79,229,1942,,,
Jeff Mullins,76,190,1942,,,
Cotton Nash,77,214,1942,,,
Willis Reed,81,234,1942,,,
Paul Silas,79,218,1943,,,
John Thompson,82,225,1941,,,
John Tresvant,79,214,1939,,,
George Wilson,80,225,1942,,,
Rick Barry,79,203,1944,,,
Jesse Branson,79,194,1942,,,
Bill Buntin,79,249,1942,,,
Barry Clemens,78,209,1943,,,
Billy Cunningham,78,209,1943,,,
Keith Erickson,77,194,1944,,,
John Fairchild,80,203,1943,,,
Will Frazier,79,209,1942,,,
Gail Goodrich,73,170,1943,,,
Fred Hetzel,80,218,1942,,,
Jon McGlocklin,77,203,1943,,,
Thales McReynolds,75,183,1943,,,
Ron Reed,77,203,1942,,,
Jerry Sloan,77,194,1942,,,
Willie Somerset,68,170,1942,,,
Dave Stallworth,79,198,1941,,,
Joe Strawder,82,234,1940,,,
Dick Van,82,234,1940,,,
Tom Van,82,234,1940,,,
Bob Warlick,77,198,1941,,,
Jim Washington,78,209,1943,,,
Ron Watts,78,209,1943,,,
Bob Weiss,74,179,1942,,,
Henry Akin,82,225,1944,,,
Johnny Austin,72,170,1944,,,
Jim Barnett,80,209,1941,,,
Dave Bing,75,179,1943,,,
John Block,81,205,1944,,,
Nate Bowman,82,229,1943,,,
Jerry Chambers,77,183,1943,,,
Archie Clark,74,174,1941,,,
Freddie Crawford,76,187,1941,,,
Dave Deutsch,73,170,1945,,,
Joe Ellis,78,174,1944,,,
Hank Finkel,84,238,1942,,,
Matt Guokas,75,194,1915,,,
Bob Hogsett,79,229,1941,,,
Lou Hudson,77,209,1944,,,
Neil Johnson,80,209,1929,,,
Toby Kimball,78,218,1942,,,
Tommy Kron,77,198,1943,,,
Clyde Lee,82,203,1944,,,
Bob Love,80,214,1942,,,
Jack Marin,79,198,1944,,,
Bill Melchionni,73,163,1944,,,
Wayne Molis,80,229,1943,,,
Erwin Mueller,80,229,1944,,,
Dorie Murrey,80,214,1943,,,
Flynn Robinson,73,183,1941,,,
Cazzie Russell,77,216,1944,,,
Dave Schellhase,75,203,1944,,,
Dick Snyder,77,205,1944,,,
Jim Ware,79,209,1944,,,
Walt Wesley,83,218,1945,,,
Bud Acton,78,209,1942,,,
Cliff Anderson,74,198,1944,,,
Bill Bradley,77,203,1943,,,
Tyrone Britt,76,190,1944,,,
Jim Burns,75,194,1945,,,
Jim Caldwell,82,238,1943,,,
George Carter,76,209,1944,,,
Jim Davis,81,225,1941,,,
Bill Dinwiddie,79,218,1943,,,
Sonny Dove,79,196,1945,,,
Ron Filipek,77,203,1944,,,
Jim Fox,82,229,1943,,,
Walt Frazier,76,198,1945,,,
Mal Graham,73,183,1945,,,
Gary Gray,73,183,1945,,,
Dennis Hamilton,80,209,1944,,,
Clem Haskins,75,194,1943,,,
Al Jackson,73,183,1943,,,
Phil Jackson,80,218,1945,,,
Johnny Jones,79,203,1943,,,
Nick Jones,74,190,1945,,,
Dave Lattin,78,225,1943,,,
George Lehmann,72,179,1942,,,
Bobby Lewis,75,174,1945,,,
Paul Long,74,179,1944,,,
Plummer Lott,77,209,1945,,,
Ed Manning,79,209,1944,,,
Stan McKenzie,77,194,1944,,,
Jay Miller,77,203,1943,,,
Earl Monroe,75,183,1944,,,
George Patterson,80,229,1939,,,
Jim Reid,78,209,1945,,,
Pat Riley,76,203,1945,,,
Bob Rule,81,218,1944,,,
Craig Spitzer,84,225,1945,,,
Al Tucker,80,190,1943,,,
Bill Turner,79,218,1944,,,
Jimmy Walker,75,194,1944,,,
Rick Weitzman,74,174,1946,,,
Roland West,76,176,1944,,,
John Wetzel,77,190,1944,,,
Ken Wilburn,78,194,1944,,,
Art Williams,73,179,1939,,,
Tom Workman,79,216,1944,,,
Zaid Abdul-Aziz,81,234,1946,,,
Rick Adelman,73,174,1946,,,
Bob Allen,81,203,1946,,,
Harry Barnes,75,203,1945,,,
Ed Biedenbach,73,174,1945,,,
Tom Boerwinkle,84,265,1945,,,
Jay Carty,80,218,1941,,,
Don Chaney,77,209,1946,,,
Dick Cunningham,82,245,1946,,,
Fred Foster,77,209,1946,,,
Pat Frink,76,194,1945,,,
Gary Gregor,79,225,1945,,,
Al Hairston,73,170,1945,,,
Shaler Halimon,77,198,1945,,,
Skip Harlicka,73,183,1946,,,
Art Harris,76,183,1947,,,
Elvin Hayes,81,234,1945,,,
Bill Hewitt,79,209,1944,,,
Bill Hosket,80,225,1946,,,
Rich Johnson,79,209,1946,,,
Bob Kauffman,80,238,1946,,,
Joe Kennedy,78,209,1947,,,
Rod Knowles,81,214,1946,,,
Stu Lantz,75,174,1946,,,
Don May,76,198,1946,,,
Otto Moore,83,203,1946,,,
Dave Newmark,84,238,1946,,,
Rich Niemann,84,245,1946,,,
Barry Orms,75,190,1946,,,
