name,year_start,year_end,position,height,height(inches),weight,birth_date,college
Rolando Blackman,1982,1994,G,6-Jun,78,190,26-Feb-59,Kansas State University
Alex Blackwell,1993,1993,F,6-Jun,78,250,27-Jun-70,Monmouth University
Cory Blackwell,1985,1985,F,6-Jun,78,210,27-Mar-63,University of Wisconsin
James Blackwell,1995,1995,G,Jun-00,72,190,25-Feb-68,Dartmouth College
Nate Blackwell,1988,1988,G,4-Jun,76,170,15-Feb-65,Temple University
DeJuan Blair,2010,2016,F,7-Jun,79,270,22-Apr-89,University of Pittsburgh
Steve Blake,2004,2016,G,3-Jun,75,172,26-Feb-80,University of Maryland
Antonio Blakeney,2018,2018,G,4-Jun,76,197,4-Oct-96,Louisiana State University
Will Blalock,2007,2007,G,Jun-00,72,205,8-Sep-83,Iowa State University
Lance Blanks,1991,1993,G,4-Jun,76,190,9-Sep-66,University of Texas at Austin
Ricky Blanton,1993,1993,F,7-Jun,79,215,21-Apr-66,Louisiana State University
Andray Blatche,2006,2014,F,11-Jun,83,235,22-Aug-86,
Mookie Blaylock,1990,2002,G,Jun-00,72,180,20-Mar-67,University of Oklahoma
Eric Bledsoe,2011,2018,G,1-Jun,73,205,9-Dec-89,University of Kentucky
Corie Blount,1994,2004,F,9-Jun,81,240,4-Jan-69,University of Cincinnati
Mark Blount,2001,2009,C,Jul-00,84,230,30-Nov-75,University of Pittsburgh
Vander Blue,2014,2018,G,4-Jun,76,200,17-Jul-92,Marquette University
Ray Blume,1982,1982,G,4-Jun,76,185,23-Sep-58,Oregon State University
Tony Bobbitt,2005,2005,G,4-Jun,76,190,22-Oct-79,University of Cincinnati
Keith Bogans,2004,2014,G,5-Jun,77,215,12-May-80,University of Kentucky
Bogdan Bogdanovic,2018,2018,G,6-Jun,78,205,18-Aug-92,
Bojan Bogdanovic,2015,2018,G,8-Jun,80,216,18-Apr-89,
Muggsy Bogues,1988,2001,G,3-May,63,136,9-Jan-65,Wake Forest University
Andrew Bogut,2006,2018,C,Jul-00,84,260,28-Nov-84,University of Utah
Etdrick Bohannon,1998,2001,F,9-Jun,81,220,29-May-73,Auburn University at Montgomery
Manute Bol,1986,1995,C,7-Jul,91,200,16-Oct-62,University of Bridgeport
Joel Bolomboy,2017,2018,F,9-Jun,81,235,28-Jan-94,Weber State University
Walter Bond,1993,1995,G,5-Jun,77,200,1-Feb-69,University of Minnesota
Dexter Boney,1997,1997,G,4-Jun,76,185,27-Apr-70,"University of Nevada, Las Vegas"
Anthony Bonner,1991,1996,F,8-Jun,80,215,8-Jun-68,Saint Louis University
Matt Bonner,2005,2016,F,10-Jun,82,235,5-Apr-80,University of Florida
Devin Booker,2016,2018,G,6-Jun,78,206,30-Oct-96,University of Kentucky
Melvin Booker,1996,1997,G,1-Jun,73,185,20-Aug-72,University of Missouri
Trevor Booker,2011,2018,F,8-Jun,80,228,25-Nov-87,Clemson University
Josh Boone,2007,2010,F,10-Jun,82,237,21-Nov-84,University of Connecticut
Calvin Booth,2000,2009,C,11-Jun,83,230,7-May-76,Pennsylvania State University
Keith Booth,1998,1999,F,6-Jun,78,226,9-Oct-74,University of Maryland
Carlos Boozer,2003,2015,F,9-Jun,81,258,20-Nov-81,Duke University
Curtis Borchardt,2004,2005,C,Jul-00,84,240,13-Sep-80,Stanford University
Lazaro Borrell,2000,2000,F,8-Jun,80,220,20-Sep-72,
Chris Bosh,2004,2016,F,11-Jun,83,235,24-Mar-84,Georgia Institute of Technology
Lawrence Boston,1980,1980,F,8-Jun,80,225,18-May-56,University of Maryland
Ruben Boumtje-Boumtje,2002,2004,C,Jul-00,84,257,20-May-78,Georgetown University
Cal Bowdler,2000,2002,F,10-Jun,82,245,31-Mar-77,Old Dominion University
Bruce Bowen,1997,2009,F,7-Jun,79,185,14-Jun-71,"California State University, Fullerton"
Ryan Bowen,2000,2010,F,7-Jun,79,215,20-Nov-75,University of Iowa
Anthony Bowie,1989,1998,G,6-Jun,78,190,9-Nov-63,University of Oklahoma
Sam Bowie,1985,1995,C,1-Jul,85,235,17-Mar-61,University of Kentucky
Ira Bowman,2000,2002,G,5-Jun,77,195,11-Jun-73,University of Pennsylvania
Donnie Boyce,1996,1997,G,5-Jun,77,196,2-Sep-73,University of Colorado
Earl Boykins,1999,2012,G,5-May,65,135,2-Jun-76,Eastern Michigan University
Cedric Bozeman,2007,2007,G,6-Jun,78,207,7-Mar-83,"University of California, Los Angeles"
Craig Brackins,2011,2012,F,10-Jun,82,230,9-Oct-87,Iowa State University
Alex Bradley,1982,1982,F,6-Jun,78,215,30-Oct-59,Villanova University
Avery Bradley,2011,2018,G,2-Jun,74,180,26-Nov-90,University of Texas at Austin
Charles Bradley,1982,1984,G,5-Jun,77,215,16-May-59,University of Wyoming
Dudley Bradley,1980,1989,G,6-Jun,78,195,19-Mar-57,University of North Carolina
Michael Bradley,2002,2006,F,10-Jun,82,245,18-Apr-79,Villanova University
Shawn Bradley,1994,2005,C,6-Jul,90,235,22-Mar-72,Brigham Young University
Tony Bradley,2018,2018,F,11-Jun,83,240,8-Jan-98,University of North Carolina
Mark Bradtke,1997,1997,C,10-Jun,82,265,27-Sep-68,
Marques Bragg,1996,1996,F,8-Jun,80,230,24-Mar-70,Providence College
Torraye Braggs,2004,2005,F,8-Jun,80,245,15-May-76,Xavier University
A.J. Bramlett,2000,2000,C,10-Jun,82,227,10-Jan-77,University of Arizona
Adrian Branch,1987,1990,F,7-Jun,79,185,17-Nov-63,University of Maryland
Elton Brand,2000,2016,F,8-Jun,80,275,11-Mar-79,Duke University
Terrell Brandon,1992,2002,G,11-May,71,180,20-May-70,University of Oregon
Brad Branson,1982,1983,C,10-Jun,82,220,24-Sep-58,Southern Methodist University
Tim Breaux,1995,1998,F,7-Jun,79,215,19-Sep-70,University of Wyoming
J.R. Bremer,2003,2004,G,2-Jun,74,185,19-Sep-80,St. Bonaventure University
Randy Breuer,1984,1994,C,3-Jul,87,230,11-Oct-60,University of Minnesota
Corey Brewer,2008,2018,F,9-Jun,81,186,5-Mar-86,University of Florida
Jamison Brewer,2002,2005,G,4-Jun,76,184,19-Nov-80,Auburn University
Ronnie Brewer,2007,2014,G,7-Jun,79,220,20-Mar-85,University of Arkansas
Primoz Brezec,2002,2010,C,2-Jul,86,252,2-Oct-79,
Frank Brickowski,1985,1997,F,9-Jun,81,240,14-Aug-59,Pennsylvania State University
Mike Brittain,1986,1987,C,Jul-00,84,235,21-Jun-63,University of South Carolina
Dave Britton,1981,1981,G,4-Jun,76,180,29-Aug-58,Texas A&M University
Jon Brockman,2010,2012,F,7-Jun,79,255,20-Mar-87,University of Washington
Jim Brogan,1982,1983,G,4-Jun,76,185,24-Feb-58,West Virginia Wesleyan College
Malcolm Brogdon,2017,2018,G,5-Jun,77,215,11-Dec-92,University of Virginia
Aaron Brooks,2008,2018,G,Jun-00,72,161,14-Jan-85,University of Oregon
Dillon Brooks,2018,2018,G,6-Jun,78,220,22-Jan-96,University of Oregon
Kevin Brooks,1992,1994,F,6-Jun,78,200,12-Oct-69,University of Louisiana at Lafayette
MarShon Brooks,2012,2014,G,5-Jun,77,200,26-Jan-89,Providence College
Michael Brooks,1981,1988,F,7-Jun,79,220,17-Aug-58,La Salle University
Scott Brooks,1989,1998,G,11-May,71,165,31-Jul-65,"University of California, Irvine"
Andre Brown,2007,2009,F,9-Jun,81,245,12-May-81,DePaul University
Anthony Brown,2016,2017,F,7-Jun,79,210,10-Oct-92,Stanford University
Bobby Brown,2009,2018,G,2-Jun,74,175,24-Sep-84,"California State University, Fullerton"
Chucky Brown,1990,2002,F,7-Jun,79,214,29-Feb-68,North Carolina State University
Damone Brown,2002,2005,F,9-Jun,81,200,28-Jun-79,Syracuse University
Dee Brown,2007,2009,G,Jun-00,72,185,17-Aug-84,University of Illinois at Urbana-Champaign
Derrick Brown,2010,2012,F,7-Jun,79,225,8-Sep-87,Xavier University
Devin Brown,2003,2010,G,5-Jun,77,220,30-Dec-78,University of Texas at San Antonio
Ernest Brown,2002,2002,C,Jul-00,84,244,17-May-79,Indian Hills Community College
Gerald Brown,1999,1999,G,4-Jun,76,210,28-Jul-75,Pepperdine University
Jabari Brown,2015,2015,G,4-Jun,76,215,18-Dec-92,University of Missouri
Jaylen Brown,2017,2018,F,7-Jun,79,225,24-Oct-96,University of California
Kedrick Brown,2002,2005,G,7-Jun,79,222,18-Mar-81,Okaloosa-Walton Community College
Kwame Brown,2002,2013,F,11-Jun,83,270,10-Mar-82,
Lewis Brown,1981,1981,C,11-Jun,83,225,19-Feb-55,"University of Nevada, Las Vegas"
Lorenzo Brown,2014,2018,G,5-Jun,77,189,26-Aug-90,North Carolina State University
Marcus Brown,1997,2000,G,3-Jun,75,185,3-Apr-74,Murray State University
Markel Brown,2015,2016,G,3-Jun,75,190,29-Jan-92,Oklahoma State University
Mike Brown,1987,1997,C,9-Jun,81,257,19-Jul-63,George Washington University
Myron Brown,1992,1992,G,3-Jun,75,180,3-Nov-69,Slippery Rock University of Pennsylvania
P.J. Brown,1994,2008,F,11-Jun,83,225,14-Oct-69,Louisiana Tech University
Randy Brown,1992,2003,G,2-Jun,74,190,22-May-68,New Mexico State University
Raymond Brown,1990,1990,F,8-Jun,80,220,5-Jul-65,University of Idaho
Rickey Brown,1981,1985,C,10-Jun,82,215,20-Aug-58,Mississippi State University
Shannon Brown,2007,2015,G,4-Jun,76,205,29-Nov-85,Michigan State University
Sterling Brown,2018,2018,G,5-Jun,77,225,10-Feb-95,Southern Methodist University
Tierre Brown,2002,2005,G,2-Jun,74,189,3-Jun-79,McNeese State University
Tony Brown,1985,1992,F,6-Jun,78,185,29-Jul-60,University of Arkansas
Stanley Brundy,1990,1990,F,6-Jun,78,210,13-Nov-67,DePaul University
Rick Brunson,1998,2006,G,4-Jun,76,190,14-Jun-72,Temple University
Nicolas Brussino,2017,2018,G,7-Jun,79,195,2-Mar-93,
Kobe Bryant,1997,2016,G,6-Jun,78,212,23-Aug-78,
Mark Bryant,1989,2003,F,9-Jun,81,245,25-Apr-65,Seton Hall University
Thomas Bryant,2018,2018,C,10-Jun,82,248,31-Jul-97,Indiana University
Wallace Bryant,1984,1986,C,Jul-00,84,245,14-Jul-59,University of San Francisco
