Player,height,weight,born
Bob Harrison,201,194,1927
Billy Hassett,180,179,1921
Marshall Hawkins,190,203,1924
Bill Henry,206,214,1924
Bill Herman,190,170,1924
Kleggie Hermsen,206,225,1923
Sonny Hertzberg,178,174,1922
Paul Hoffman,188,194,1925
Joe Holland,193,183,1925
Red Holzman,178,174,1920
Gene James,193,179,1925
Howie Janotta,190,183,1924
Tony Jaros,190,183,1920
Buddy Jeannette,180,174,1917
Arnie Johnson,196,236,1920
Ralph Johnson,180,170,1921
Wah Wah,180,170,1921
Noble Jorgensen,206,227,1925
George Kaftan,190,190,1928
Leo Katkaveck,183,183,1923
Jack Kerris,198,214,1925
Bob Kinney,198,214,1920
Walt Kirk,190,172,1924
Leo Klier,188,170,1923
Duane Klueh,190,174,1926
Lee Knorek,201,214,1921
Milo Komenich,201,212,1920
Leo Kubiak,180,159,1927
Frank Kudelka,188,192,1925
Walt Lautenbach,188,183,1922
Tony Lavelli,190,183,1926
Ed Leede,190,183,1927
Andrew Levane,188,190,1920
Freddie Lewis,188,194,1921
Ron Livingstone,208,218,1925
John Logan,188,174,1921
Ray Lumpp,185,176,1923
Ed Macauley,203,183,1928
Johnny Macknowski,183,179,1923
John Mahnken,203,218,1922
John Mandic,193,203,1919
Slater Martin,178,170,1925
Ariel Maughan,193,190,1923
Matt Mazza,190,209,1923
Mike McCarron,180,179,1922
Dick McGuire,183,179,1926
Bones McKinney,198,183,1919
Mal McMullen,196,209,1927
Dick Mehen,196,194,1922
Ken Menke,183,168,1922
Stan Miasek,196,209,1924
Ed Mikan,203,229,1925
George Mikan,208,245,1924
Vern Mikkelsen,201,229,1928
Al Miksis,201,209,1928
Murray Mitchell,201,209,1923
Leo Mogus,193,190,1921
Max Morris,188,194,1925
Joe Mullaney,183,163,1925
Jerry Nagel,183,190,1928
Jack Nichols,201,220,1926
Richie Niemiera,185,163,1921
Paul Noel,193,183,1924
Jim Nolan,203,209,1927
Johnny Norlander,190,179,1921
George Nostrand,203,194,1924
Mike Novak,206,218,1915
Dermie O'Connell,183,172,1928
Andy O'Donnell,185,179,1925
Dick O'Keefe,188,183,1923
John Oldham,190,174,1923
Gene Ollrich,180,159,1922
Johnny Orr,190,194,1927
Don Otten,208,238,1921
Mac Otten,201,218,1925
Red Owens,190,183,1925
Easy Parham,190,198,1921
Jack Parkinson,183,172,1924
Charlie Parsley,188,174,1925
Stan Patrick,188,183,1922
Johnny Payak,193,172,1926
Warren Perkins,190,190,1922
Ed Peterson,206,218,1924
Jack Phelan,196,194,1925
Andy Phillip,188,194,1922
Jim Pollard,193,183,1922
John Pritchard,206,218,1927
Les Pugh,201,190,1923
Don Putman,201,190,1923
George Ratkovicz,198,218,1922
Don Ray,196,190,1921
Chick Reiser,180,163,1914
Arnie Risen,206,198,1924
Tex Ritter,188,183,1924
Bill Roberts,206,209,1925
Red Rocha,206,183,1923
Kenny Rollins,183,168,1923
Bob Royer,178,154,1927
Jerry Rullo,178,163,1923
Ed Sadowski,196,238,1917
Kenny Sailors,178,174,1921
Pep Saul,188,183,1924
Herm Schaefer,183,174,1918
Marv Schatzman,196,198,1927
Fred Schaus,196,203,1925
Dolph Schayes,203,218,1928
Milt Schoon,201,229,1922
Howie Schultz,198,198,1922
Dick Schulz,188,192,1917
Fred Scolari,178,179,1922
Wayne See,190,190,1923
Glen Selbo,190,194,1926
Rollie Seltz,178,163,1924
Jim Seminoff,188,190,1922
George Senesky,188,179,1922
Paul Seymour,185,179,1928
Carl Shaeffer,190,183,1924
Howie Shannon,188,174,1923
Charley Shipp,185,198,1913
Connie Simmons,203,220,1925
Belus Smawley,185,194,1918
Jack Smiley,190,190,1922
Chips Sobek,183,179,1920
Odie Spears,196,203,1925
Art Spector,193,198,1920
Ed Stanczak,185,183,1921
Gene Stump,188,183,1923
Mike Todorovich,196,218,1923
Jack Toomay,198,214,1922
Bob Tough,183,183,1920
Blackie Towery,193,209,1920
Dick Triptow,183,170,1922
Butch Van,183,170,1922
Gene Vance,190,194,1923
Ernie Vandeweghe,190,194,1928
Floyd Volker,193,203,1921
Whitey Von,193,203,1921
Clint Wager,198,209,1920
Danny Wagner,183,170,1922
Brady Walker,198,203,1921
Paul Walther,188,159,1927
Bobby Wanzer,183,170,1921
Murray Wier,175,154,1926
D.C. Wilcutt,175,154,1926
Bob Wood,175,154,1921
Max Zaslofsky,188,170,1925
Paul Arizin,193,190,1928
Ed Beach,190,198,1929
Leon Blevins,188,159,1926
Ike Borsavage,203,218,1924
Art Burris,196,218,1924
Gerry Calabrese,185,174,1925
Cal Christensen,196,209,1927
Nat Clifton,198,218,1922
Chuck Cooper,196,209,1926
Bob Cousy,185,174,1928
Hank DeZonie,198,214,1922
Bob Donham,188,190,1926
Ray Ellefson,203,229,1922
Larry Foust,206,214,1928
Ed Gayda,193,209,1927
Joe Hutton,185,170,1928
Bob Lavoy,201,183,1926
Earl Lloyd,196,198,1928
Don Lofgran,196,198,1928
Norm Mager,196,183,1926
Joe McNamee,198,209,1926
Chuck Mrazovich,196,183,1924
Ken Murray,188,190,1928
Tommy O'Keefe,188,183,1928
Kevin O'Shea,188,174,1925
Don Rehfeldt,201,209,1927
Jim Riffey,193,198,1923
Alan Sawyer,196,194,1928
Herb Scherer,206,212,1928
Dick Schnittker,196,198,1928
Bill Sharman,185,174,1926
Don Barksdale,198,198,1923
Elmer Behnke,201,209,1929
Stan Brown,190,198,1929
Ed Dahler,196,190,1926
Nate DeLong,198,218,1926
Dick Dickey,185,174,1926
Jake Fendley,183,179,1929
Jerry Fowler,203,229,1927
Lew Hitch,203,198,1929
Mel Hutchins,198,198,1928
Neil Johnston,203,209,1929
Jack Kiley,185,170,1929
George King,183,174,1928
John McConathy,196,194,1930
Alfred McGuire,188,179,1928
Dave Minor,188,183,1922
Ralph O'Brien,175,159,1928
Wally Osterkorn,196,214,1928
Mel Payton,193,183,1926
John Pilch,190,183,1925
Ray Ragelis,193,203,1928
Sam Ranzino,185,183,1927
John Rennicke,188,183,1929
Don Savage,190,203,1928
Chuck Share,211,234,1927
Zeke Sinicola,178,163,1929
Whitey Skoog,180,179,1926
Jim Slaughter,211,209,1928
Bill Tosheff,185,174,1926
Bob Wilson,193,183,1926
Jim Baechtold,193,203,1927
Jim Brasco,185,170,1931
Dick Bunt,183,170,1930
Gene Conley,203,225,1930
Pete Darcey,201,216,1930
Blaine Denning,188,174,1930
Danny Finn,185,183,1928
Dick Groat,180,179,1930
Don Hanrahan,201,198,1929
Don Henriksen,201,225,1929
Jim Holstein,190,179,1930
Bob Lochmueller,196,183,1927
Mo Mahoney,188,203,1927
Al Masino,178,172,1928
Jack McCloskey,188,190,1925
Bucky McConnell,178,170,1928
George McLeod,196,198,1931
Jack McMahon,185,183,1928
Monk Meineke,201,207,1930
Eddie Miller,203,225,1931
Bill Mlkvy,193,190,1931
Jim Mooney,196,214,1930
Bob Naber,190,183,1929
John O'Boyle,188,183,1928
Mike O'Neill,190,209,1928
Claude Overton,188,194,1927
Ralph Polson,201,198,1929
Bob Priddy,190,190,1930
Moe Radovich,183,159,1929
Sherwin Raiken,188,183,1928
Gene Rhodes,185,170,1927
Dick Surhoff,193,209,1929
Mark Workman,206,214,1930
Zeke Zawoluk,201,214,1930
Don Ackerman,183,183,1930
Don Asmonga,188,183,1928
Ernie Barrett,190,179,1929
Ernie Beck,193,190,1931
Irv Bemoras,190,183,1930
Bill Bolger,196,203,1931
Walt Davis,203,203,1931
Gene Dyker,198,225,1930
Ed Earle,190,190,1927
Ray Felix,211,218,1930
Jim Fritsche,203,209,1931
Jack George,188,190,1928
Bato Govedarica,180,183,1928
Norm Grekin,196,179,1930
Rollen Hans,188,209,1931
Bob Houbregs,201,209,1932
Billy Kenville,188,185,1930
Dick Knostman,198,214,1931
Clyde Lovellette,206,234,1929
Jim Luisi,188,179,1928
Jack Molinas,198,198,1931
Jim Neal,211,234,1930
Paul Nolen,211,234,1929
Bob Peterson,196,209,1932
James Phelan,196,194,1925
Connie Rea,190,174,1935
Frank Reddout,196,194,1935
Al Roges,193,194,1930
Ed Smith,198,179,1929
Joe Smyth,190,214,1929
Don Sunderlage,185,179,1929
Norm Swanson,198,209,1930
Hal Uplinger,193,183,1929
Isaac Walthour,180,161,1930
George Yardley,196,190,1928
Don Anielak,201,190,1930
Tom Brennan,190,194,1930
Bob Carney,190,170,1932
Fred Christ,193,209,1930
Bert Cook,190,183,1929
Larry Costello,185,185,1931
George Dempsey,188,190,1929
Fred Diute,190,209,1929
Dick Farley,193,190,1932
Chuck Grigsby,196,190,1928
Herm Hedderick,196,170,1930
Ed Kalafat,198,245,1932
Mike Kearns,188,176,1929
Red Kerr,206,229,1932
Dan King,198,218,1931
Bob Knight,188,183,1929
Ronnie MacGilvray,188,183,1930
Tom Marshall,193,214,1931
Phil Martin,190,190,1928
Ken McBride,190,190,1928
Carl McNulty,190,183,1930
Jackie Moore,196,179,1932
Red Morrison,203,218,1932
Boris Nachamkin,198,209,1933
Togo Palazzi,193,203,1932
Bob Pettit,206,203,1932
Frank Ramsey,190,190,1931
Dick Rosenthal,196,203,1930
Frank Selvy,190,179,1932
Gene Shue,188,170,1931
Art Spoelstra,206,218,1932
Jim Tucker,201,183,1932
Jack Turner,193,170,1930
Bobby Watson,183,159,1930
Skippy Whitaker,185,179,1930
Jesse Arnelle,196,218,1933
Dick Atha,188,190,1931
Don Bielke,201,238,1931
Ed Conlin,196,198,1933
Red Davis,201,218,1932
Corky Devlin,196,194,1931
Walter Dukes,213,218,1930
Ron Feiereisel,190,183,1931
Al Ferrari,193,190,1933
Ed Fleming,190,187,1933
Dick Garmaker,190,198,1932
Tom Gola,198,203,1933
Chris Harris,190,190,1933
Dick Hemric,198,218,1933
Larry Hennessy,190,183,1929
Johnny Horan,203,190,1932
Jim Loscutoff,196,218,1930
Chuck Mencel,183,168,1933
Chuck Noble,193,190,1931
Med Park,188,203,1933
Richie Regan,188,179,1930
Dick Ricketts,201,214,1933
Bob Santini,196,190,1935
Bob Schafer,190,194,1935
Kenny Sears,206,196,1933
Jack Stephens,190,183,1933
Maurice Stokes,201,231,1933
Jack Twyman,198,209,1934
Bob Williams,198,229,1931
Forest Able,190,179,1932
Bob Armstrong,203,218,1933
John Barber,198,209,1927
Gary Bergen,203,209,1932
Al Bianchi,190,183,1932
Bob Burrow,201,227,1934
Si Green,188,183,1933
Richie Guerin,193,194,1932
Cliff Hagan,193,209,1931
Tom Heinsohn,201,216,1934
Joe Holup,198,214,1934
Bob Hopkins,203,203,1934
Phil Jordon,208,203,1933
Hal Lear,183,161,1935
Slick Leonard,190,183,1932
Johnny McCarthy,185,183,1934
Willie Naulls,198,225,1934
Jim Paxson,198,198,1932
Dave Piontek,198,229,1934
Jim Ray,185,179,1934
Bill Russell,208,214,1934
Ron Shavlik,203,198,1933
Ron Sobie,190,183,1934
Norm Stewart,196,203,1935
Bill Thieben,201,214,1935
Lou Tsioropoulos,196,190,1930
Doug Bolstorff,193,194,1931
George Brown,198,190,1935
Dick Duckett,185,183,1933
Pat Dunn,188,170,1931
Bill Ebben,193,190,1935
Bo Erias,190,218,1932
Larry Friend,193,183,1935
Hot Rod,193,183,1935
McCoy Ingram,203,209,1931
Sam Jones,193,196,1933
Jim Krebs,203,229,1935
Brendan McCann,188,176,1935
Worthy Patterson,188,174,1931
Jerry Paulson,188,183,1935
Ray Radziszewski,196,209,1935
Lennie Rosenbluth,193,190,1933
Woody Sauldsberry,201,218,1934
Guy Sparrow,198,216,1932
Charlie Tyra,203,229,1935
Jim Walsh,193,194,1930
Win Wilfong,188,183,1933
Elgin Baylor,196,225,1934
Jerry Bird,198,209,1935
Bucky Bockhorn,193,198,1933
Pete Brennan,198,203,1936
Barney Cable,201,174,1935
Archie Dees,203,203,1936
Connie Dierking,206,220,1936
Boo Ellis,196,183,1936
Wayne Embry,203,238,1937
Mike Farmer,201,209,1936
Dave Gambee,198,214,1937
Hal Greer,188,174,1936
Steve Hamilton,198,190,1935
Vern Hatton,190,194,1936
Andy Johnson,196,214,1932
K.C. Jones,196,214,1932
Tommy Kearns,180,183,1936
Shellie McMillon,196,203,1936
Jim Palmer,203,223,1933
Jack Parr,206,218,1936
Hub Reed,206,214,1936
Guy Rodgers,183,183,1935
Phil Rollins,188,183,1934
Larry Staverman,201,203,1936
Bennie Swain,203,218,1933
Gary Alcorn,206,225,1936
Bob Anderegg,190,198,1937
Dick Barnett,193,190,1936
Whitey Bell,183,179,1932
Wilt Chamberlain,216,273,1936
Bob Ferry,203,229,1937
Johnny Green,196,198,1933
Gene Guarilia,196,218,1937
Tom Hawkins,196,209,1936
Bailey Howell,201,209,1937
Maury King,188,194,1935
Rudy LaRusso,201,218,1937
Nick Mantis,190,190,1935
Cal Ramsey,193,198,1937
John Richter,206,225,1937
Joe Ruklick,206,218,1938
Bobby Smith,193,190,1937
Wayne Stevens,190,183,1936
Tony Windis,185,159,1933
Al Attles,183,174,1936
Bob Boozer,203,214,1937
Dave Budd,198,203,1938
Ralph Davis,193,179,1938
Swede Halbrook,221,234,1933
Darrall Imhoff,208,218,1938
Ron Johnson,203,214,1938
Howie Jolliff,203,214,1938
Willie Jones,190,183,1936
Pickles Kennedy,180,179,1938
Fred LaCour,196,209,1938
George Lee,193,198,1936
Bob McNeill,185,170,1938
Jackie Moreland,201,214,1938
Don Ohl,190,190,1936
Joe Roberts,198,214,1936
Oscar Robertson,196,203,1938
Tom Sanders,198,209,1938
Jerry West,188,174,1938
Lenny Wilkens,185,179,1937
Stacey Arceneaux,193,209,1936
Walt Bellamy,211,225,1939
George Blaney,185,174,1939
George Bon,185,174,1939
Joe Buckhalter,201,209,1937
Cleveland Buckner,206,209,1938
Ed Burton,198,225,1939
Donnie Butcher,188,198,1936
Al Butler,188,174,1938
Howie Carl,175,159,1938
Jimmy Darrow,178,170,1937
Johnny Egan,180,179,1939
Rich Eichhorst,180,179,1939
Cleo Hill,185,183,1938
Ron Horn,201,218,1938
Doug Kistler,206,209,1938
York Larese,193,183,1938
Ted Luckenbill,198,203,1939
Whitey Martin,188,183,1939
Tom Meschery,198,214,1938
Paul Neumann,185,174,1938
Bevo Nordmann,208,225,1939
Chuck Osborne,198,209,1939
Gary Phillips,190,187,1939
Frank Radovich,203,234,1938
Ray Scott,206,214,1938
Lee Shaffer,201,218,1939
Bob Sims,196,218,1938
Adrian Smith,185,179,1936
Bill Smith,196,190,1939
Sam Stith,188,183,1937
Horace Walker,190,209,1937
Bob Wiesenhahn,193,214,1938
Wayne Yates,203,234,1937
Dave Zeller,185,174,1939
John Barnhill,185,179,1938
Zelmo Beaty,206,225,1939
Bill Bridges,198,227,1939
Len Chappell,203,238,1941
Johnny Cox,193,179,1936
Dave DeBusschere,198,218,1940
Terry Dischinger,201,187,1940
Danny Doyle,203,198,1940
Bob Duffy,193,174,1922
Leroy Ellis,208,209,1940
Dave Fedor,198,190,1940
Jack Foley,190,170,1939
Dave Gunther,201,190,1937
Charlie Hardnett,203,225,1938
John Havlicek,196,203,1940
Wayne Hightower,203,192,1940
Paul Hogue,203,192,1940
Kevin Loughery,190,190,1940
Bill McGill,206,225,1939
Porter Meriwether,188,179,1940
Howie Montgomery,196,218,1940
Don Nelson,198,209,1940
Mel Nowell,188,170,1939
Bud Olsen,203,218,1940
John Rudometkin,198,203,1940
Jeff Slade,198,218,1941
Tom Stith,196,209,1939
Dan Swartz,193,214,1934
Dan Tieman,183,183,1940
Gene Tormohlen,183,183,1940
Chico Vaughn,188,190,1940
Chet Walker,198,212,1940
Ben Warley,196,198,1936
Ralph Wells,185,179,1940
Hubie White,193,203,1940
Gene Wiley,208,209,1937
Jay Arnette,188,174,1938
Larry Comley,196,209,1939
Mel Gibson,190,179,1940
Jerry Greenspan,196,194,1941
Reggie Harding,213,247,1942
Jerry Harkness,188,174,1940
Art Heyman,196,203,1941
Gary Hill,193,183,1941
Tom Hoover,206,229,1941
Gus Johnson,198,229,1938
Jim King,188,174,1941
Don Kojis,196,214,1939
Jerry Lucas,203,229,1940
Eddie Miles,193,194,1940
Mel Peterson,193,183,1938
Ken Rohloff,183,194,1939
Larry Siegfried,190,190,1939
Roger Strickland,196,198,1940
Tom Thacker,188,170,1939
Rod Thorn,193,194,1941
Nate Thurmond,211,225,1941
Gerry Ward,193,194,1941
John Windsor,203,214,1940
Jim Barnes,203,209,1941
Ron Bonham,196,192,1942
Gary Bradds,203,209,1942
Em Bryant,185,174,1938
Joe Caldwell,196,194,1941
Mel Counts,213,229,1941
Steve Courtin,185,187,1942
Jerry Grote,193,214,1940
Happy Hairston,201,225,1942
Walt Hazzard,201,225,1942
Les Hunter,201,209,1942
Luke Jackson,206,238,1941
Larry Jones,188,179,1942
Wali Jones,193,225,1926
Howard Komives,185,183,1941
Bud Koper,198,209,1942
Barry Kramer,193,198,1942
McCoy McLemore,201,229,1942
Jeff Mullins,193,190,1942
Cotton Nash,196,214,1942
Willis Reed,206,234,1942
Paul Silas,201,218,1943
John Thompson,208,225,1941
John Tresvant,201,214,1939
George Wilson,203,225,1942
Rick Barry,201,203,1944
Jesse Branson,201,194,1942
Bill Buntin,201,249,1942
Barry Clemens,198,209,1943
Billy Cunningham,198,209,1943
Keith Erickson,196,194,1944
John Fairchild,203,203,1943
Will Frazier,201,209,1942
Gail Goodrich,185,170,1943
Fred Hetzel,203,218,1942
Jon McGlocklin,196,203,1943
Thales McReynolds,190,183,1943
Ron Reed,196,203,1942
Jerry Sloan,196,194,1942
Willie Somerset,173,170,1942
Dave Stallworth,201,198,1941
Joe Strawder,208,234,1940
Dick Van,208,234,1940
Tom Van,208,234,1940
Bob Warlick,196,198,1941
Jim Washington,198,209,1943
Ron Watts,198,209,1943
Bob Weiss,188,179,1942
Henry Akin,208,225,1944
Johnny Austin,183,170,1944
Jim Barnett,203,209,1941
Dave Bing,190,179,1943
John Block,206,205,1944
Nate Bowman,208,229,1943
Jerry Chambers,196,183,1943
Archie Clark,188,174,1941
Freddie Crawford,193,187,1941
Dave Deutsch,185,170,1945
Joe Ellis,198,174,1944
Hank Finkel,213,238,1942
Matt Guokas,190,194,1915
Bob Hogsett,201,229,1941
Lou Hudson,196,209,1944
Neil Johnson,203,209,1929
Toby Kimball,198,218,1942
Tommy Kron,196,198,1943
Clyde Lee,208,203,1944
Bob Love,203,214,1942
Jack Marin,201,198,1944
Bill Melchionni,185,163,1944
Wayne Molis,203,229,1943
Erwin Mueller,203,229,1944
Dorie Murrey,203,214,1943
Flynn Robinson,185,183,1941
Cazzie Russell,196,216,1944
Dave Schellhase,190,203,1944
Dick Snyder,196,205,1944
Jim Ware,201,209,1944
Walt Wesley,211,218,1945
Bud Acton,198,209,1942
Cliff Anderson,188,198,1944
Bill Bradley,196,203,1943
Tyrone Britt,193,190,1944
Jim Burns,190,194,1945
Jim Caldwell,208,238,1943
George Carter,193,209,1944
Jim Davis,206,225,1941
Bill Dinwiddie,201,218,1943
Sonny Dove,201,196,1945
Ron Filipek,196,203,1944
Jim Fox,208,229,1943
Walt Frazier,193,198,1945
Mal Graham,185,183,1945
Gary Gray,185,183,1945
Dennis Hamilton,203,209,1944
Clem Haskins,190,194,1943
Al Jackson,185,183,1943
Phil Jackson,203,218,1945
Johnny Jones,201,203,1943
Nick Jones,188,190,1945
Dave Lattin,198,225,1943
George Lehmann,183,179,1942
Bobby Lewis,190,174,1945
Paul Long,188,179,1944
Plummer Lott,196,209,1945
Ed Manning,201,209,1944
Stan McKenzie,196,194,1944
Jay Miller,196,203,1943
Earl Monroe,190,183,1944
George Patterson,203,229,1939
Jim Reid,198,209,1945
Pat Riley,193,203,1945
Bob Rule,206,218,1944
Craig Spitzer,213,225,1945
Al Tucker,203,190,1943
Bill Turner,201,218,1944
Jimmy Walker,190,194,1944
Rick Weitzman,188,174,1946
Roland West,193,176,1944
John Wetzel,196,190,1944
Ken Wilburn,198,194,1944
Art Williams,185,179,1939
Tom Workman,201,216,1944
Zaid Abdul-Aziz,206,234,1946
Rick Adelman,185,174,1946
Bob Allen,206,203,1946
Harry Barnes,190,203,1945
Ed Biedenbach,185,174,1945
Tom Boerwinkle,213,265,1945
Jay Carty,203,218,1941
Don Chaney,196,209,1946
Dick Cunningham,208,245,1946
Fred Foster,196,209,1946
Pat Frink,193,194,1945
Gary Gregor,201,225,1945
Al Hairston,185,170,1945
Shaler Halimon,196,198,1945
Skip Harlicka,185,183,1946
Art Harris,193,183,1947
Elvin Hayes,206,234,1945
Bill Hewitt,201,209,1944
Bill Hosket,203,225,1946
Rich Johnson,201,209,1946
Bob Kauffman,203,238,1946
Joe Kennedy,198,209,1947
Rod Knowles,206,214,1946
Stu Lantz,190,174,1946
Don May,193,198,1946
Otto Moore,211,203,1946
Dave Newmark,213,238,1946
Rich Niemann,213,245,1946
Barry Orms,190,190,1946
Charlie Paulk,203,218,1946
Loy Petersen,196,203,1945
Bob Quick,196,214,1946
Craig Raymond,211,234,1945
Mike Riordan,193,198,1945
Dale Schlueter,208,225,1945
Doug Sims,201,194,1943
Greg Smith,196,194,1947
John Trapp,201,209,1945
Wes Unseld,201,245,1946
Dwight Waller,198,218,1945
Cliff Williams,190,179,1945
Ron Williams,190,187,1944
Sam Williams,190,179,1945
Kareem Abdul-Jabbar,218,225,1947
Lucius Allen,188,174,1947
Wally Anderzunas,201,218,1946
John Arthurs,193,183,1947
Johnny Baum,196,198,1946
Butch Beard,190,183,1947
Fred Carter,190,183,1945
Bob Dandridge,198,194,1947
Mike Davis,190,183,1946
Dick Garrett,190,183,1947
Herm Gilliam,190,190,1946
Bob Greacen,201,205,1947
Lamar Green,201,209,1947
Connie Hawkins,203,209,1942
Brian Heaney,188,179,1946
Steve Kuberski,203,214,1947
Mike Lynn,201,214,1945
Willie McCarter,190,174,1946
Steve Mix,201,214,1947
Grady O'Malley,196,203,1948
Bud Ogden,198,214,1946
Bob Portman,196,198,1947
Luther Rackley,208,218,1946
George Reynolds,193,194,1947
Rick Roberson,206,229,1947
Dave Scholz,203,218,1948
Bingo Smith,196,190,1939
Norm Van,196,190,1939
Neal Walk,208,218,1948
John Warren,190,179,1947
Jo Jo,190,179,1947
Bernie Williams,190,174,1945
Lee Winfield,188,172,1947
Don Adams,198,209,1947
Tiny Archibald,185,150,1948
Bob Arnzen,196,203,1947
Dennis Awtrey,208,234,1948
Moe Barr,193,194,1944
Tom Black,208,218,1941
Bob Christian,208,254,1946
Jimmy Collins,188,174,1946
Joe Cooke,190,174,1948
Dave Cowens,206,229,1948
Pete Cross,206,229,1948
Terry Driscoll,201,214,1947
Claude English,193,183,1946
Greg Fillmore,216,238,1947
Levi Fontaine,193,190,1948
Jake Ford,190,179,1946
Gary Freeman,206,209,1948
Walt Gilmore,198,225,1947
Spencer Haywood,203,225,1949
Gar Heard,198,218,1948
Al Henry,206,190,1949
A.W. Holt,206,190,1949
Greg Howard,206,214,1948
John Hummer,206,229,1948
Greg Hyder,198,214,1948
George Johnson,211,245,1947
John Johnson,201,198,1947
Earnie Killum,190,179,1948
Ron Knight,201,214,1947
Sam Lacey,208,234,1948
Bob Lanier,211,249,1948
Pete Maravich,196,196,1947
Harvey Marlatt,190,183,1948
Eddie Mast,206,218,1948
Jim McMillian,196,214,1948
Larry Mikan,201,209,1948
Rex Morgan,196,190,1948
Calvin Murphy,175,163,1948
Ralph Ogden,196,203,1948
Curtis Perry,201,218,1948
Geoff Petrie,193,190,1948
Mike Price,190,198,1948
Bob Riley,206,234,1948
Paul Ruffner,208,225,1948
Mike Silliman,198,225,1944
Garfield Smith,206,234,1945
Dave Sorenson,203,225,1948
Dennis Stewart,198,218,1947
Bill Stricker,206,209,1948
Gary Suiter,206,225,1945
Fred Taylor,196,179,1948
Joe Thomas,198,203,1948
Rudy Tomjanovich,203,216,1948
John Vallely,190,183,1948
Cornell Warner,206,218,1948
Bobby Washington,180,174,1947
Jeff Webb,193,170,1948
Herb White,188,194,1948
Milt Williams,188,181,1945
Willie Williams,201,198,1946
Marv Winkler,185,163,1948
Gary Zeller,190,203,1947
Bill Zopf,185,170,1948
Odis Allison,198,194,1949
Vic Bartolome,213,229,1948
Fred Brown,190,181,1948
Austin Carr,193,198,1948
Sid Catlett,198,229,1948
Phil Chenier,190,179,1950
Jim Cleamons,190,183,1949
Charlie Davis,188,159,1949
Jackie Dinkins,196,209,1950
Ken Durrett,201,190,1948
Dick Gibbs,196,209,1948
Clarence Glover,203,209,1947
Jeff Halliburton,196,192,1949
Fred Hilton,190,183,1948
Jake Jones,190,179,1949
Mo Layton,185,179,1948
Stan Love,206,214,1949
Charlie Lowery,190,183,1949
Jim Marsh,201,214,1946
Jim McDaniels,211,227,1948
Gil McGregor,203,238,1949
Kenny McIntosh,201,225,1949
Cliff Meely,203,214,1947
Dean Meminger,183,174,1948
John Mengelt,188,194,1949
Barry Nelson,208,229,1949
Mike Newlin,193,198,1949
Willie Norwood,201,218,1947
Steve Patterson,206,225,1948
Tom Payne,218,238,1950
Howard Porter,203,218,1948
Clifford Ray,206,229,1949
Jackie Ridgle,193,194,1948
Rich Rinaldi,190,194,1949
Curtis Rowe,201,225,1949
Charlie Scott,196,174,1948
Elmore Smith,213,249,1949
Randy Smith,190,179,1948
William Smith,213,218,1949
Larry Steele,196,179,1949
George Trapp,203,203,1948
Sidney Wicks,203,225,1949
Nate Williams,196,214,1950
Isaiah Wilson,188,174,1948
Dave Wohl,188,183,1949
Barry Yates,201,214,1946
Charlie Yelverton,188,190,1948
